character_name,book_id,uid,character_first_name,character_second_name,character_third_name,,,,,,,,
parker,837,,parker,,,,,,,,,,
plato,837,,plato,,,,,,,,,,
master cyril,837,,master,cyril,,,,,,,,,
ranee,837,,ranee,,,,,,,,,,
beatrice,837,,beatrice,,,,,,,,,,
rosenbaum,837,,rosenbaum,,,,,,,,,,
besant,837,,besant,,,,,,,,,,
cooke,837,,cooke,,,,,,,,,,
wells,837,,wells,,,,,,,,,,
hamlet,968,,hamlet,,,,,,,,,,
diogenes,968,,diogenes,,,,,,,,,,
sarah gamp,968,,sarah,gamp,,,,,,,,,
moore,968,,moore,,,,,,,,,,
watts,968,,watts,,,,,,,,,,
tom pinch,968,,tom,pinch,,,,,,,,,
hercules,968,,hercules,,,,,,,,,,
wishin,968,,wishin,,,,,,,,,,
park lane,968,,park,lane,,,,,,,,,
werb,968,,werb,,,,,,,,,,
jonadge,968,,jonadge,,,,,,,,,,
peter wilkins,968,,peter,wilkins,,,,,,,,,
wery,968,,wery,,,,,,,,,,
perkins,968,,perkins,,,,,,,,,,
gander,968,,gander,,,,,,,,,,
spoker,968,,spoker,,,,,,,,,,
tom styles,968,,tom,styles,,,,,,,,,
scorner,968,,scorner,,,,,,,,,,
hominy,968,,hominy,,,,,,,,,,
norris junior,968,,norris,junior,,,,,,,,,
viscount,968,,viscount,,,,,,,,,,
la fayette,968,,la,fayette,,,,,,,,,
chuzzlewits,968,,chuzzlewits,,,,,,,,,,
mark tapley,968,,mark,tapley,,,,,,,,,
lor,968,,lor,,,,,,,,,,
pecksniff pecksniff,968,,pecksniff,pecksniff,,,,,,,,,
walley,968,,walley,,,,,,,,,,
merry,968,,merry,,,,,,,,,,
van dieman,968,,van,dieman,,,,,,,,,
lucifer,968,,lucifer,,,,,,,,,,
earl,968,,earl,,,,,,,,,,
jack noakes,968,,jack,noakes,,,,,,,,,
bill,968,,bill,,,,,,,,,,
augustus moddle,968,,augustus,moddle,,,,,,,,,
mind,968,,mind,,,,,,,,,,
tacker,968,,tacker,,,,,,,,,,
baal,968,,baal,,,,,,,,,,
capricorn,968,,capricorn,,,,,,,,,,
oscar buffum,968,,oscar,buffum,,,,,,,,,
fladdock,968,,fladdock,,,,,,,,,,
pitch,968,,pitch,,,,,,,,,,
juliet,968,,juliet,,,,,,,,,,
doe,968,,doe,,,,,,,,,,
bandy,968,,bandy,,,,,,,,,,
m  hollow,968,,m,,hollow,,,,,,,,
pogram,968,,pogram,,,,,,,,,,
mel,968,,mel,,,,,,,,,,
bowie,968,,bowie,,,,,,,,,,
miller,968,,miller,,,,,,,,,,
bullamy,968,,bullamy,,,,,,,,,,
izzard,968,,izzard,,,,,,,,,,
wolf,968,,wolf,,,,,,,,,,
martin chuzzlewits,968,,martin,chuzzlewits,,,,,,,,,
diana,968,,diana,,,,,,,,,,
lummy ned of the light salisbury,968,,lummy,ned,of,the,light,salisbury,,,,,
columbian,968,,columbian,,,,,,,,,,
polly,968,,polly,,,,,,,,,,
moddle,968,,moddle,,,,,,,,,,
mary graham,968,,mary,graham,,,,,,,,,
pecksniffs,968,,pecksniffs,,,,,,,,,,
gracchi,968,,gracchi,,,,,,,,,,
tigg montague,968,,tigg,montague,,,,,,,,,
bartlemy,968,,bartlemy,,,,,,,,,,
high holborn,968,,high,holborn,,,,,,,,,
jonas chuzzlewit,968,,jonas,chuzzlewit,,,,,,,,,
messrs tigg,968,,messrs,tigg,,,,,,,,,
damme,968,,damme,,,,,,,,,,
samson,968,,samson,,,,,,,,,,
m  t,968,,m,,t,,,,,,,,
m  g,968,,m,,g,,,,,,,,
george chuzzlewit,968,,george,chuzzlewit,,,,,,,,,
skittles,968,,skittles,,,,,,,,,,
jane,968,,jane,,,,,,,,,,
spiller,968,,spiller,,,,,,,,,,
thomas pinch chuzzlewit,968,,thomas,pinch,chuzzlewit,,,,,,,,
moralise,968,,moralise,,,,,,,,,,
franklin,968,,franklin,,,,,,,,,,
martha,968,,martha,,,,,,,,,,
gill,968,,gill,,,,,,,,,,
esau slodge,968,,esau,slodge,,,,,,,,,
martin,968,,martin,,,,,,,,,,
paul sweedlepipe,968,,paul,sweedlepipe,,,,,,,,,
barnwell,968,,barnwell,,,,,,,,,,
pawkinses,968,,pawkinses,,,,,,,,,,
diggory chuzzlewit,968,,diggory,chuzzlewit,,,,,,,,,
seth pecksniff,968,,seth,pecksniff,,,,,,,,,
permittin,968,,permittin,,,,,,,,,,
ecod,968,,ecod,,,,,,,,,,
griffin,968,,griffin,,,,,,,,,,
macbeth,968,,macbeth,,,,,,,,,,
dear martin,968,,dear,martin,,,,,,,,,
betsy prig,968,,betsy,prig,,,,,,,,,
dick,968,,dick,,,,,,,,,,
piljian,968,,piljian,,,,,,,,,,
fox,968,,fox,,,,,,,,,,
toby chuzzlewit,968,,toby,chuzzlewit,,,,,,,,,
whilks,968,,whilks,,,,,,,,,,
prayer book,968,,prayer,book,,,,,,,,,
martin chuzzlewit,968,,martin,chuzzlewit,,,,,,,,,
william,968,,william,,,,,,,,,,
thomas cribb,968,,thomas,cribb,,,,,,,,,
shakespeare,968,,shakespeare,,,,,,,,,,
lupin,968,,lupin,,,,,,,,,,
tipper,968,,tipper,,,,,,,,,,
charon,968,,charon,,,,,,,,,,
eden,968,,eden,,,,,,,,,,
abudah,968,,abudah,,,,,,,,,,
ginery dunkle,968,,ginery,dunkle,,,,,,,,,
don juan,968,,don,juan,,,,,,,,,
choke,968,,choke,,,,,,,,,,
neighbours,968,,neighbours,,,,,,,,,,
nelson,968,,nelson,,,,,,,,,,
gad,968,,gad,,,,,,,,,,
chevy slyme,968,,chevy,slyme,,,,,,,,,
philip quarll,968,,philip,quarll,,,,,,,,,
cook,968,,cook,,,,,,,,,,
hillo,968,,hillo,,,,,,,,,,
lion,968,,lion,,,,,,,,,,
anthony chuzzlewit,968,,anthony,chuzzlewit,,,,,,,,,
blumenbach,968,,blumenbach,,,,,,,,,,
mayfair,968,,mayfair,,,,,,,,,,
sam the hostler,968,,sam,the,hostler,,,,,,,,
montague tigg,968,,montague,tigg,,,,,,,,,
bardlemy,968,,bardlemy,,,,,,,,,,
tanner,968,,tanner,,,,,,,,,,
robinson crusoe,968,,robinson,crusoe,,,,,,,,,
ceasar,968,,ceasar,,,,,,,,,,
nobley,968,,nobley,,,,,,,,,,
shakspeare,968,,shakspeare,,,,,,,,,,
nadgett,968,,nadgett,,,,,,,,,,
