bookId_RowNum,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
pg33761-46,0.0237,0.3078,0.1008,0.0842,0.0208,0.0281,0.0256,0.0599,0.0469,0.0017,0.0021,0.0074,0.0076,0.0968,-0.0650,0.0228,0.3301,0.2113,0.4586,0.7169,-0.0193,0.2514,-1.0000
pg11970-47,0.0215,0.2374,0.2313,0.1041,0.0315,0.0205,0.0255,0.0611,0.0443,0.0007,0.0091,0.0001,0.0041,0.0965,-0.0368,0.0206,0.2599,0.2470,0.4931,0.7653,-0.0405,-1.1971,-1.0000
pg8549-48,0.0289,0.2128,0.3739,0.0817,0.0248,0.0289,0.0286,0.0492,0.0575,0.0010,0.0009,0.0074,0.0062,0.0871,-0.1079,0.0214,0.3151,0.2422,0.4427,0.7483,-0.0341,-0.3138,-1.0000
pg33989-49,0.0232,0.1613,0.2881,0.0912,0.0286,0.0200,0.0283,0.0648,0.0429,0.0006,0.0110,0.0090,0.0036,0.1137,-0.0196,0.0203,0.1656,0.3307,0.5037,0.7281,-0.0596,-0.7563,-1.0000
pg53356-50,0.0198,0.1636,0.1856,0.0696,0.0247,0.0212,0.0326,0.0944,0.0246,0.0002,0.0134,0.0074,0.0086,0.1480,0.1349,0.0199,0.2008,0.2941,0.5052,0.6274,-0.0299,0.4877,-1.0000
pg33747-51,0.0141,0.3274,0.1992,0.0799,0.0309,0.0291,0.0329,0.0531,0.0433,0.0009,0.0060,0.0056,0.0070,0.0985,-0.0325,0.0134,0.1987,0.3031,0.4982,0.6589,-0.0596,0.8016,-1.0000
pg31568-52,0.0105,0.3538,0.1456,0.0580,0.0253,0.0294,0.0374,0.0491,0.0244,0.0139,0.0115,0.0000,0.0038,0.1118,0.1943,0.0082,0.2577,0.1000,0.6424,0.5430,-0.0448,0.2535,-1.0000
pg30236-53,0.0114,0.1976,0.1244,0.0710,0.0300,0.0283,0.0433,0.0836,0.0272,0.0010,0.0081,0.0030,0.0023,0.1390,0.1870,0.0040,0.1625,0.2126,0.6249,0.5466,0.0073,0.5763,-1.0000
pg13913-54,0.0235,0.3387,0.0817,0.0766,0.0259,0.0278,0.0380,0.0465,0.0426,0.0009,0.0083,0.0098,0.0080,0.1034,-0.0311,0.0176,0.1926,0.2649,0.5425,0.6948,0.0009,0.0389,-1.0000
pg34835-55,0.0195,0.2429,0.1439,0.0935,0.0223,0.0221,0.0273,0.0584,0.0576,0.0001,0.0023,0.0036,0.0069,0.0917,-0.1026,0.0269,0.2804,0.2107,0.5090,0.8000,-0.0437,-0.8511,-1.0000
pg42462-56,0.0120,0.2852,0.3100,0.0646,0.0262,0.0264,0.0309,0.0706,0.0265,0.0013,0.0027,0.0135,0.0068,0.1190,0.1139,0.0098,0.1681,0.2434,0.5885,0.5968,-0.0012,-0.2142,-1.0000
pg6592-57,0.0208,0.2876,0.3488,0.0486,0.0284,0.0260,0.0384,0.0664,0.0346,0.0000,0.0006,0.0014,0.0038,0.1067,0.0531,0.0075,0.1807,0.1398,0.6795,0.5818,-0.0851,0.1121,-1.0000
pg41374-58,0.0137,0.3029,0.2033,0.0542,0.0270,0.0278,0.0415,0.0615,0.0347,0.0011,0.0060,0.0033,0.0030,0.1134,0.0661,0.0120,0.1748,0.1778,0.6474,0.6207,0.1093,1.0074,-1.0000
pg41375-59,0.0150,0.2676,0.1772,0.0669,0.0327,0.0255,0.0383,0.0580,0.0365,0.0008,0.0058,0.0038,0.0029,0.1068,0.0476,0.0136,0.1723,0.2242,0.6035,0.6408,0.1061,0.8560,-1.0000
pg41376-60,0.0167,0.2762,0.1205,0.0639,0.0309,0.0273,0.0376,0.0605,0.0362,0.0011,0.0064,0.0038,0.0032,0.1094,0.0425,0.0156,0.2391,0.2035,0.5574,0.6624,0.0434,0.8922,-1.0000
pg40278-61,0.0200,0.1468,0.3268,0.0799,0.0285,0.0250,0.0308,0.0574,0.0419,0.0013,0.0062,0.0095,0.0093,0.1053,-0.0281,0.0132,0.2838,0.2434,0.4728,0.7060,0.0349,0.0689,-1.0000
pg44878-62,0.0145,0.1598,0.1331,0.0892,0.0253,0.0280,0.0263,0.0365,0.0594,0.0002,0.0003,0.0089,0.0028,0.0722,-0.0897,0.0118,0.2171,0.2083,0.5745,0.7369,0.0700,0.4791,-1.0000
pg6113-63,0.0218,0.0657,0.1673,0.0972,0.0274,0.0226,0.0348,0.0599,0.0440,0.0017,0.0052,0.0034,0.0058,0.1050,-0.0218,0.0221,0.1342,0.2293,0.6365,0.7393,-0.0777,-0.3662,-1.0000
pg30483-64,0.0233,0.1460,0.2457,0.0872,0.0248,0.0245,0.0294,0.0549,0.0439,0.0001,0.0017,0.0078,0.0036,0.0940,-0.0240,0.0277,0.3035,0.1906,0.5060,0.6868,-0.0692,0.8051,-1.0000
pg19225-65,0.0241,0.2894,0.1908,0.0851,0.0243,0.0216,0.0358,0.0514,0.0508,0.0004,0.0058,0.0166,0.0082,0.1100,-0.0838,0.0174,0.2996,0.2021,0.4982,0.7871,-0.0660,0.0793,-1.0000
