35661,Mysterious Mr. Sabin,en,Oppenheim| E. Phillips,Oppenheim| E. Phillips
35664,Titan: A Romance. v. 1 (of 2),en,Paul| Jean,Paul| Jean
35691,The Late Tenant,en,Tracy| Louis,Tracy| Louis
35740,The Game and the Candle,en,Ingram| Eleanor M.,Ingram| Eleanor M.
35758,Nixchen. Ein Beitrag zur Psychologie der höheren Tochter,de,"Kahlenberg, Hans von","Kahlenberg, Hans von"
35765,Lily Pearl and The Mistress of Rosedale,en,Glenwood| Ida,Glenwood| Ida
35769,Dilemmas of Pride- (Vol 1 of 3),en,Loudon| Mrs,Loudon| Mrs
35785,The Hills of Refuge: A Novel,en,Harben| Will N.,Harben| Will N.
35787,Plain Mary Smith: A Romance of Red Saunders,en,Phillips| Henry Wallace,Phillips| Henry Wallace
35818,Doors of the Night,en,"Packard, Frank L. (Frank Lucius)","Packard, Frank L. (Frank Lucius)"
35819,Lonesome Town,en,"Dorrance, E. S. (Ethel Smith)","Dorrance, E. S. (Ethel Smith)"
35822,That Little Girl of Miss Eliza's: A Story for Young People,en,"Baird, Jean K. (Jean Katherine)","Baird, Jean K. (Jean Katherine)"
35823,The Secret of the Reef,en,"Bindloss, Harold","Bindloss, Harold"
35826,"Die doppelköpfige Nymphe
Aufsätze über die Literatur und die Gegenwart",de,"Edschmid, Kasimir","Edschmid, Kasimir"
35828,By Wit of Woman,en,"Vedder, Simon Harmon","Vedder, Simon Harmon"
35833,The Black Star: A Detective Story,en,McCulley| Johnston,McCulley| Johnston
35874,Mr. Punch in Bohemia,en,"Hammerton, John Alexander, Sir","Hammerton, John Alexander, Sir"
35902,Final Proof- The Value of Evidence,en,Ottolengui| Rodrigues,Ottolengui| Rodrigues
35912,The Finger of Fate: A Romance,en,Reid| Mayne,Reid| Mayne
35913,The Child Wife,en,Reid| Mayne,Reid| Mayne
36027,Silent Struggles,en,Stephens| Ann S.,Stephens| Ann S.
36029,A Speckled Bird,en,Evans| Augusta J.,Evans| Augusta J.
36071,Hesperus- Forty-Five Dog-Post-Days: A Biography. Vol. I.,en,Paul| Jean,Paul| Jean
36087,Hesperus- Forty-Five Dog-Post-Days: A Biography. Vol. II.,en,Paul| Jean,Paul| Jean
36112,Sons and Fathers,en,"Edwards, Harry Stillwell","Edwards, Harry Stillwell"
36159,The Letter of Credit,en,Warner| Susan,Warner| Susan
36177,Mr. Punch on Tour: The Humour of Travel at Home and Abroad,en,"Hammerton, John Alexander, Sir","Hammerton, John Alexander, Sir"
36195,Dr. Hardhack's Prescription: A Play for Children in Four Acts,en,"Stowe, Harriet Beecher","Stowe, Harriet Beecher"
36199,Bijou,en,Gyp| ,Gyp| 
36227,Der Fremde: Ein Gleichniss,de,"Kahlenberg, Hans von","Kahlenberg, Hans von"
36232,The Shooting of Dan McGrew- A Novel. Based on the Famous Poem of Robert Service,en,Dana| Marvin| Service| Robert W.,Dana| Marvin| Service| Robert W.
36237,The Mystery of the Locks,en,"Howe, E. W. (Edgar Watson)","Howe, E. W. (Edgar Watson)"
36247,The Red Mouse: A Mystery Romance,en,Osborne| William Hamilton,Osborne| William Hamilton
36353,The Invisible Lodge,en,Paul| Jean,Paul| Jean
36360,Faithful Margaret: A Novel,en,Simpson| Mrs. J. M.,Simpson| Mrs. J. M.
36364,Zoe- Some Day: A Novel,en,Leonard| May,Leonard| May
36366,Dangerous Ground- The Rival Detectives,en,Lynch| Lawrence L.,Lynch| Lawrence L.
36374,Wives and Widows- The Broken Life,en,Stephens| Ann S.,Stephens| Ann S.
36389,"Drei Meister: Balzac, Dickens, Dostojewski",de,"Zweig, Stefan","Zweig, Stefan"
36401,The Turn of the Tide: The Story of How Margaret Solved Her Problem,en,Porter| Eleanor H.,Porter| Eleanor H.
36403,Titan: A Romance. v. 2 (of 2),en,Paul| Jean,Paul| Jean
36414,Jessamine: A Novel,en,Harland| Marion,Harland| Marion
36439,The Story of an Untold Love,en,Ford| Paul Leicester,Ford| Paul Leicester
36467,A Butterfly on the Wheel: A Novel,en,Hemmerde| Edward G.| Neilson| Francis| Thorne| Guy,Hemmerde| Edward G.| Neilson| Francis| Thorne| Guy
36488,Jüdische Geschichten,de,"Eliasberg, Alexander","Eliasberg, Alexander"
36529,Mr. Punch at the Play: Humours of Music and the Drama,en,"Hammerton, John Alexander, Sir","Hammerton, John Alexander, Sir"
36556,The Complete Works of Josh Billings,en,"Nast, Thomas","Nast, Thomas"
36588,The Red Derelict,en,Mitford| Bertram,Mitford| Bertram
36593,Fordham's Feud,en,Mitford| Bertram,Mitford| Bertram
36606,The Ruby Sword: A Romance of Baluchistan,en,"Mitford, Bertram","Mitford, Bertram"
36638,A Book of Ghosts,en,"Baring-Gould, S. (Sabine)","Baring-Gould, S. (Sabine)"
36713,The Haunted Homestead: A Novel,en,Southworth| Emma Dorothy Eliza Nevitte,Southworth| Emma Dorothy Eliza Nevitte
36723,One Maid's Mischief,en,Fenn| George Manville,Fenn| George Manville
36731,"Tales of the Wonder Club, Volume III",en,"Halidom, M. Y.","Halidom, M. Y."
36758,Cynthia Wakeham's Money,en,Green| Anna Katharine,Green| Anna Katharine
36766,Der kleine Herr Friedemann: Novellen,de,"Mann, Thomas","Mann, Thomas"
36779,Die Lobensteiner reisen nach Böhmen: Zwölf Novellen und Geschichten,de,"Döblin, Alfred","Döblin, Alfred"
36862,"Nicht da, nicht dort",de,"Ehrenstein, Albert","Ehrenstein, Albert"
36875,Midnight Webs,en,Fenn| George Manville,Fenn| George Manville
36918,Die Schaffnerin; Die Mächtigen: Novellen,de,"Wassermann, Jakob","Wassermann, Jakob"
36933,Zaubermärchen,de,"Ehrenstein, Albert","Ehrenstein, Albert"
36991,The ghosts of their ancestors,en,"Rae, John","Rae, John"
36997,Rosmersholm: Schauspiel in vier Aufzügen,de,"Ibsen, Henrik","Ibsen, Henrik"
37081,In Strange Company: A Story of Chili and the Southern Seas,en,Boothby| Guy,Boothby| Guy
37107,A Life For a Love: A Novel,en,Meade| L. T.,Meade| L. T.
37140,A Proposal Under Difficulties: A Farce,en,"Bangs, John Kendrick","Bangs, John Kendrick"
37166,Mr. Punch at the Seaside,en,"Hammerton, John Alexander, Sir","Hammerton, John Alexander, Sir"
37204,The Ranchman,en,Seltzer| Charles Alden,Seltzer| Charles Alden
37208,The Wayfarers,en,Cutting| Mary Stewart,Cutting| Mary Stewart
37266,Reigen: Zehn Dialoge,de,"Schnitzler, Arthur","Schnitzler, Arthur"
37338,The Crime Doctor,en,Hornung| E. W.,Hornung| E. W.
37355,Pray You- Sir- Whose Daughter?,en,Gardener| Helen H.,Gardener| Helen H.
37412,The Empty Sack,en,King| Basil,King| Basil
37430,The Sin of Monsieur Pettipon- and other humorous tales,en,Connell| Richard Edward,Connell| Richard Edward
37436,"Verfall und Triumph, Zweiter Teil: Versuche in Prosa",de,"Becher, Johannes Robert","Becher, Johannes Robert"
37449,Puppets at Large: Scenes and Subjects from Mr Punch's Show,en,"Anstey, F.","Anstey, F."
37451,Rough-Hewn,en,Fisher| Dorothy Canfield,Fisher| Dorothy Canfield
37467,Daisy Thornton,en,Holmes| Mary Jane,Holmes| Mary Jane
37476,Jessie Graham,en,Holmes| Mary Jane,Holmes| Mary Jane
37479,The Debit Account,en,Onions| Oliver,Onions| Oliver
37490,The Gray Phantom's Return,en,Landon| Herman,Landon| Herman
37597,Voces Populi,en,"Anstey, F.","Anstey, F."
37660,Of All Things,en,"Benchley, Robert","Benchley, Robert"
37664,The Sins of the Children: A Novel,en,Hamilton| Cosmo,Hamilton| Cosmo
37691,The Travelling Companions: A Story in Scenes,en,"Anstey, F.","Anstey, F."
37710,Mavis of Green Hill,en,Baldwin| Faith,Baldwin| Faith
37781,Notwithstanding,en,Cholmondeley| Mary,Cholmondeley| Mary
37827,The Open Question: A Tale of Two Temperaments,en,Robins| Elizabeth,Robins| Elizabeth
37838,The Story of Louie,en,Onions| Oliver,Onions| Oliver
37866,A Humble Enterprise,en,Cambridge| Ada,Cambridge| Ada
37882,Mr. Punch in the Highlands,en,"Hammerton, John Alexander, Sir","Hammerton, John Alexander, Sir"
37913,The Gray Phantom,en,Landon| Herman,Landon| Herman
37919,In Accordance with the Evidence,en,Onions| Oliver,Onions| Oliver
37976,Dot and Tot of Merryland,en,"Denslow, W. W. (William Wallace)","Denslow, W. W. (William Wallace)"
38006,The Heatherford Fortune - a sequel to the Magic Cameo,en,Sheldon| Mrs. Georgie,Sheldon| Mrs. Georgie
38126,Der Untertan,de,"Mann, Heinrich","Mann, Heinrich"
38146,"Mr. Punch on the Warpath: Humours of the Army, the Navy and the Reserve Forces",en,"Hammerton, John Alexander, Sir","Hammerton, John Alexander, Sir"
38169,The Heath Hover Mystery,en,"Mitford, Bertram","Mitford, Bertram"
38186,The Sailor,en,Snaith| J. C.,Snaith| J. C.
38199,Kenneth McAlpine: A Tale of Mountain- Moorland and Sea,en,Stables| Gordon,Stables| Gordon
38212,The Making of William Edwards- The Story of the Bridge of Beauty,en,Banks| Mrs. G. Linnaeus,Banks| Mrs. G. Linnaeus
38281,Der König Candaules: Drama in drei Akten,de,"Blei, Franz","Blei, Franz"
38291,A Witch of the Hills- v. 1 [of 2],en,Warden| Florence,Warden| Florence
38292,A Witch of the Hills- v. 2 [of 2],en,Warden| Florence,Warden| Florence
38325,The Happy Warrior,en,Hutchinson| A. S. M.,Hutchinson| A. S. M.
38368,A Knight on Wheels,en,Hay| Ian,Hay| Ian
38402,Geschichten vom lieben Gott,de,"Rilke, Rainer Maria","Rilke, Rainer Maria"
38474,Loaded Dice,en,Clark| Ellery H.,Clark| Ellery H.
38477,In Jeopardy,en,"Sutphen, Van Tassel","Sutphen, Van Tassel"
38489,Gargoyles,en,Hecht| Ben,Hecht| Ben
38502,Hann Klüth: Roman,de,"Engel, Georg","Engel, Georg"
38505,Der gläserne Garten: Zwei Novellen,de,"Goll, Claire","Goll, Claire"
38506,Lesestücke,de,"Hardekopf, Ferdinand","Hardekopf, Ferdinand"
38531,"The Beckoning Hand, and Other Stories",en,"Allen, Grant","Allen, Grant"
38586,Mr. Punch's Cockney Humour,en,"Hammerton, John Alexander, Sir","Hammerton, John Alexander, Sir"
38623,The Story of Charles Strange: A Novel. Vol. 1 (of 3),en,Wood| Mrs. Henry,Wood| Mrs. Henry
38624,The Story of Charles Strange: A Novel. Vol. 2 (of 3),en,Wood| Mrs. Henry,Wood| Mrs. Henry
38625,The Story of Charles Strange: A Novel. Vol. 3 (of 3),en,Wood| Mrs. Henry,Wood| Mrs. Henry
38679,Miranda of the Balcony: A Story,en,Mason| A. E. W.,Mason| A. E. W.
38683,Mr. Punch's Golf Stories,en,"Hammerton, John Alexander, Sir","Hammerton, John Alexander, Sir"
38685,The Truants,en,Mason| A. E. W.,Mason| A. E. W.
38686,Die Liebe der Erika Ewald: Novellen,de,"Zweig, Stefan","Zweig, Stefan"
38689,The Turnstile,en,Mason| A. E. W.,Mason| A. E. W.
38692,"Tonio Kröger
[Erstausgabe; Illustrationen von Erich M. Simon]",de,"Mann, Thomas","Mann, Thomas"
38702,The Maker of Opportunities,en,Gibbs| George,Gibbs| George
38715,A Singular Metamorphosis,en,Skiles| May Evelyn,Skiles| May Evelyn
38743,"The Corner House Girls
How they moved to Milton, what they found, and what they did",en,"Owen, Robert Emmett","Owen, Robert Emmett"
38764,"A Roving Commission; Or, Through the Black Insurrection at Hayti",en,"Henty, G. A. (George Alfred)","Henty, G. A. (George Alfred)"
38798,The Monctons: A Novel. Volume 2 (of 2),en,Moodie| Susanna,Moodie| Susanna
38888,Out of a Labyrinth,en,Lynch| Lawrence L.,Lynch| Lawrence L.
38930,"Elsbeth von Küssaberg, das Gotteli von St. Agnesen
Ein episches Gedicht aus dem Kletgau",de,"Würtenberger, Karl Friedrich","Würtenberger, Karl Friedrich"
38947,Der Teemeister,de,"Vischer, Melchior","Vischer, Melchior"
39018,Mr. Marx's Secret,en,Oppenheim| E. Phillips,Oppenheim| E. Phillips
39066,The White Blackbird,en,Aitken| Robert,Aitken| Robert
39111,Miser Farebrother: A Novel (vol. 1 of 3),en,Farjeon| B. L.,Farjeon| B. L.
39114,Doesticks: What He Says,en,"Doesticks, Q. K. Philander","Doesticks, Q. K. Philander"
39126,Der Rebell: Novelle,de,"George, Manfred","George, Manfred"
39160,Mr. Punch in the Hunting Field,en,"Leech, John","Leech, John"
39175,Legenden und Geschichten,de,"Luther, Arthur","Luther, Arthur"
39192,It May Be True- Vol. 2 (of 3),en,Wood| Mrs. Henry,Wood| Mrs. Henry
39193,It May Be True- Vol. 3 (of 3),en,Wood| Mrs. Henry,Wood| Mrs. Henry
39207,Tales for Fifteen,en,Cooper| James Fenimore,Cooper| James Fenimore
39277,Die Achatnen Kugeln: Roman,de,"Edschmid, Kasimir","Edschmid, Kasimir"
39345,Mitchelhurst Place: A Novel. Vol. 1 (of 2),en,Veley| Margaret,Veley| Margaret
39349,Wyndham's Pal,en,Bindloss| Harold,Bindloss| Harold
39359,Mabel: A Novel. Vol. 3 (of 3),en,Newby| Mrs. C. J.,Newby| Mrs. C. J.
39375,Christmas-Tree Land,en,"Crane, Walter","Crane, Walter"
39377,Mildred Arkell: A Novel. Vol. 2 (of 3),en,Wood| Mrs. Henry,Wood| Mrs. Henry
39390,Der Hase: Eine Erzählung,de,"Vischer, Melchior","Vischer, Melchior"
39391,Der Hasenroman,de,"Jammes, Francis","Jammes, Francis"
39417,A Gamble with Life,en,Hocking| Silas K.,Hocking| Silas K.
39425,The Mysterious Wanderer- Vol. III - A Novel in Three Volumes,en,Reeve| Sophia,Reeve| Sophia
39432,The House 'Round the Corner,en,"Tracy, Louis","Tracy, Louis"
39443,Mrs. Balfame: A Novel,en,"Atherton, Gertrude Franklin Horn","Atherton, Gertrude Franklin Horn"
39529,Geschichte der Neueren Deutschen Chirurgie,de,"Küster, Ernst Georg Ferdinand","Küster, Ernst Georg Ferdinand"
39545,Die Colonie: Brasilianisches Lebensbild. Dritter Band,de,"Gerstäcker, Friedrich","Gerstäcker, Friedrich"
39553,"Einiges aus der Geschichte der Astronomie im Alterthum
Rede zur Feier des Geburtstags Sr. Maj. des Deutschen Kaisers Königs von Preussen Wilhelm I. gehalten an der Christian-Albrechts",de,"Blass, Friedrich","Blass, Friedrich"
39556,Guy and Pauline,en,MacKenzie| Compton,MacKenzie| Compton
39562,Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Sechster Band: enthaltend Kapitel 11 und 12,de,"Beseler, Wilhelm","Beseler, Wilhelm"
