bid;bname;blang;auth_name;sub
21816;The Confidence-Man;en;Melville| Herman;Literary
22465;"Der Weihnachtsabend
Eine Geistergeschichte";de;Dickens, Charles;Horror
26828;A Red Wallflower;en;Harrison| S. Frances;Literary
30165;Die Abenteuer Tom Sawyers;de;Twain, Mark;Adventure
30628;Das rasende Leben: Zwei Novellen;de;Edschmid, Kasimir;Fiction
30631;Die Colonie: Brasilianisches Lebensbild. Erster Band.;de;Gerstäcker, Friedrich;Fiction
30648;An Ocean Tramp;en;McFee| William;Literary
30692;Sir Tom;en;Oliphant| Mrs.;Literary
31001;Benno Stehkragen;de;Ettlinger, Karl;Fiction
31145;Liljecronas Heimat;de;Lagerlöf, Selma;Fiction
31164;Der violette Tod, und andere Novellen;de;Meyrink, Gustav;Fantasy
31204;Peterchens Mondfahrt: Ein Märchenspiel;de;Bassewitz, Gerdt von;Fantasy
31241;Aliens;en;McFee| William;Literary
31294;Ein Kampf um Rom: Historischer Roman. Erster Band;de;Dahn, Felix;History
31527;Max Havelaar;de;Multatuli;Literature
31658;Liebesgedichte;de;Huch, Ricarda Octavia;Romance
31842;Der Schleier der Pierrette: Pantomime in drei Bildern;de;Schnitzler, Arthur;Drama
31850;Der Tor und der Tod;de;Hofmannsthal, Hugo von;Drama
32100;Melusine: Ein Liebesroman;de;Wassermann, Jakob;Fiction
32391;Aus tiefem Schacht;de;Zobeltitz, Fedor von;Fiction
32432;Fidelity: A Novel;en;Glaspell, Susan;Romance fiction
32514;Pledged to the Dead;en;Quinn, Seabury;Horror
32516;A Marriage at Sea;en;Russell| William Clark;Sea and Adventure
32560;Gerald Fitzgerald- the Chevalier: A Novel;en;Viebig| Clara;Sea and Adventure
32576;A Novelist on Novels;en;George| Walter Lionel;Literary
32685;Cold Ghost;en;Geier, Chester S.;Horror
32692;A Day's Ride: A Life's Romance;en;Lever| Charles James;Literary
32693;That Boy Of Norcott's;en;Lever| Charles James;Literary
32732;Jacob's Ladder;en;Oppenheim| E. Phillips;Detective and Mystery
32742;The Auto Boys' Mystery;en;Braden, James A. (James Andrew);Detective and mystery 
