bookId-chunkNo,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50
pg47341-1,0.015,0.2132,0.1036,0.051,0.0156,0.0298,0.0297,0.0659,0.0405,0.0037,0.0017,0.0048,0.012,0.1058,-0.0283,0.0109,0.4237,0.1695,0.4068,0.6598,0.4466,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg47341-9,0.0159,0.2088,0.1826,0.0676,0.0162,0.0242,0.0292,0.0659,0.0375,0.0054,0.0002,0.0049,0.0316,0.1056,-0.0515,0.0221,0.5424,0.1525,0.3051,0.7628,0.6792,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg47341-8,0.0167,0.255,0.2151,0.0601,0.0152,0.0266,0.0315,0.0689,0.0438,0.004,0.0006,0.0034,0.0156,0.1084,-0.0357,0.0173,0.4068,0.2034,0.3898,0.7219,0.4389,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg47341-7,0.0223,0.1779,0.1568,0.0656,0.0103,0.0216,0.0349,0.0636,0.0463,0.004,0.0012,0.004,0.016,0.1077,-0.0466,0.0238,0.5424,0.1695,0.2881,0.7643,0.4957,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg47341-12,0.0224,0.2176,0.239,0.0604,0.0145,0.0251,0.0298,0.0601,0.0448,0.0045,0.0003,0.0022,0.0238,0.0969,-0.049,0.0218,0.4915,0.1356,0.3729,0.7675,0.7039,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg47341-13,0.0215,0.1495,0.2977,0.063,0.0205,0.0234,0.0324,0.068,0.0446,0.0041,0.0006,0.0048,0.0222,0.1099,-0.0441,0.0173,0.4576,0.1864,0.3559,0.7689,0.5821,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg47341-10,0.021,0.1872,0.1756,0.0657,0.0123,0.0266,0.0292,0.0624,0.0444,0.0036,0.0005,0.0044,0.0232,0.1001,-0.0521,0.0222,0.5424,0.2203,0.2373,0.7555,0.5686,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg47341-11,0.0251,0.1529,0.1966,0.0688,0.0136,0.019,0.0287,0.0586,0.0511,0.0038,0.0008,0.0046,0.0233,0.0965,-0.0546,0.0234,0.5085,0.2034,0.2881,0.7702,0.4153,0.0822,-0.0327,42.553999999999995,1.0927892,-0.4216503,-0.21491376,0.032176672999999996,-0.12824604,-0.20076981,0.21844164,-0.041927066,0.23554328,-0.013689318999999998,1.04147659315359,1.2820268431656698,0.609630494246514,1.14623339094536,2.3208085591325696,1.2050348740214198,0.72196286803115,1.6728263773037202,1.04013104537582,1.20179515324788,0.5794005210436539,1.36122718208578,2.49640232398407,1.2258051467604,0.605597179132693,1.4896414483697,0.73355093229437
pg39667-4,0.0163,0.1839,0.2874,0.0176,0.0085,0.0395,0.02,0.0546,0.0613,0.0053,0.0007,0.0011,0.0002,0.0817,-0.0324,0.0084,0.6066,0.0656,0.3279,0.3193,0.5154,0.0122,0.185,46.86600000000001,0.96011734,-0.24632739,-0.17510644,-9.48e-05,0.035503894,-0.26522735,0.14972535,-0.18660688,0.19687788,0.14144744,1.76157713281946,0.704426129426129,0.56826258267976,1.95390364577481,1.0908212356831999,1.11084200394016,0.461359618568207,2.34880765110827,1.23138138205139,1.14824383923793,0.685323556412698,1.5844848981224702,1.12258955675147,0.9756781553953969,0.614346040493117,2.63795257153552,0.5351472633282871
pg39667-3,0.0109,0.3513,0.2222,0.0196,0.0083,0.039,0.0214,0.064,0.0708,0.0025,0.0008,0.0009,0.0,0.0896,-0.0426,0.0073,0.5082,0.0164,0.4754,0.3827,0.1778,0.0122,0.185,46.86600000000001,0.96011734,-0.24632739,-0.17510644,-9.48e-05,0.035503894,-0.26522735,0.14972535,-0.18660688,0.19687788,0.14144744,1.76157713281946,0.704426129426129,0.56826258267976,1.95390364577481,1.0908212356831999,1.11084200394016,0.461359618568207,2.34880765110827,1.23138138205139,1.14824383923793,0.685323556412698,1.5844848981224702,1.12258955675147,0.9756781553953969,0.614346040493117,2.63795257153552,0.5351472633282871
